"CID","CanonicalSMILES","MolecularFormula","Fingerprint2D"
25150857,"CN1CCCN(CC1)C2=NC3=CC(=C(C=C3C(=N2)NC4CCN(CC4)CC5=CC=CC=C5)OC)OC","C28H38N6O2","AAADcfB7sAAAAAAAAAAAAAAAAAAAAAAAAAA8eIEABYAAAACx9AAAHgAQAAAADCzBngYz9vfIFACgAyZiZACCiCkhIqAJmKA+7JiNbqLE+duUNCpu0BvK6Cew0BMOIEABAgACQABAgAIEAASAAAAAAAAAAA=="
53789347,"CCC1=C(N(N=N1)CC)SCC2=C(N3C(C(C3=O)NC(=O)CS(=O)C4=CC=CS4)SC2)C(=O)O","C20H23N5O5S4","AAADceB7uABwAAAAAAAAAAAAAABYAWJAAAAgAAAAAAAQAAAB4AAAHgQYCAAADCjF1gSyiZPIAgquAyXyXEBDFYRhmBBY2J24UMgKZAhggSAUEAAAFgDwUQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=="
1080352,"C1=CC=C(C=C1)CCNC2=C3C4=CC=CC=C4C(=O)C5=C3C(=CC=C5)NC2=O","C24H18N2O2","AAADceB7MAAAAAAAAAAAAAAAAAAAAAAAAAAwYMGCAAAAAADBUAAAHgAQAAAADAzBmAQwwILAAACIAqVSUACCAAAlAgAIiIGIZMgIYDLAlbGUIQhglADIyYcciMCOgAAAQAASAACAAASAACQAAAAAAAAAAA=="
23891512,"CCOC(=O)C1=CC=C(C=C1)NC(=O)OC2C(OC(C(C2OC(=O)NC3=CC4=C(C=C3)OCO4)OC(=O)NC5=CC6=C(C=C5)OCO6)OC)CO","C33H33N3O15","AAADcfB/PAAAAAAAAAAAAAAAAAAAASJAAAA0YMEAAAAAAEgBUAAAHgAQCAAADByxmAMyzoLABgCIAiTSWACCCAAlIgAIiAEG7MkdNjLEtZuucSpn1BlP6Yf4+S+eCEAAAgAAQAAQgAAEAACAAAAAAAAAAA=="
9687,"CCCC(=O)NC1=C2C(=NC=N1)N(C=N2)C3C(C4C(O3)COP(=O)(O4)O)OC(=O)CCC","C18H24N5O8P","AAADceB7vAIAAAAAAAAAAAAAAAAAAWJAAAAsSAAAAAAAAFgB+AAAHgAQCCAACBzhlwYH+L/MFRCoQQfxfICAgC0REKABUCEoVBCDSBJAyEAfBAgPFQLSACDwMAIAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=="
264,"CCCC(=O)O","C4H8O2","AAADccBgMAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGgAACAAACACAgAACCAAAAgAIAACQCAAAAAAAAAAAAAEAAAAAABAAAAAAQAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=="
512282,"CC1CN(CCN1C(=O)COC2=C(C=C(C=C2)Cl)NC(=O)N)CC3=CC=C(C=C3)F","C21H24ClFN4O3","AAADceB7sQAEAAAAAAAAAAAAAAAAAAAAAAA8YIAAAAAAAAABQAAAHwIQAAAADC7hmC4zxoPABACIAiVSUAKCCAAhJwAIiABPboiOZiLFs5+XOCjk1hPY6CeQwAAOACAAAAIAEAAAQAAABAAgAAAAAAAAAA=="
5943,"C(Cl)(Cl)(Cl)Cl","CCl4","AAADcQAAAAAHAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAIAAAAAAAAAAIAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=="
11345983,"COC1=CC=C(C=C1)NC2=NC=CC(=N2)NCCO","C13H16N4O2","AAADceBzsAAAAAAAAAAAAAAAAAAAAAAAAAA8QAAAAAAAAAABwAAAHgAQCAAACAzhkgY/9pbIFgCgADZnZACCiCkxIqAJ2KA+bJiOPqLE+duENChs0BPY6CewQAAAAEAAAAAAAAAAgAAAAAAAAAAAAAAAAA=="
2662,"CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F","C17H14F3N3O2S","AAADccB7MYBAAAAAAAAAAAAAAAAAAWAAAAAwYAAAAAAAAAAB0AAAHQQYQAAADAiBXhAywZIIAAKiAyRiRHDSBDAhAgAYmDgwZJgIIOLA0dGEpAhgiADIyAcQgMAOQAQAAAAAAACACAAAAAAAAAAAAAAAAA=="
